"Source:","C:\Users\christian.saiz\Documents\0_NOAA\1_NOAA_work\1_XBT\New_Autolauncher\al_kicad_project\AOML_AB_3.0\AOML_AB_3.0_reorganized-v1.kicad_sch"
"Date:","1/25/2024 11:50:30 AM"
"Tool:","Eeschema 7.0.7"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","232"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Cost","Digikey","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Part"
"11","8","C42, C43, C44, C60, C61, C62, C74, C75","0.01u","Device:C_Small","Capacitor_001uF-0805:CAP_CL21_SAM","~","","0.1","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B103KBANNNC/3886673","","","","","","CL21B103KBANNNC"
"12","8","C45, C46, C47, C63, C64, C65, C76, C77","0.47u","Device:C_Small","Capacitor_047uF:CAP_CL_21_SAM","~","","0.1","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B474KBFNNNG/3894539","","","","","","CL21B474KBFNNNG"
"13","1","D1","B340AE-13","Diode:1N5821","Shottky_B340AE_13:CR_SMA_320-340AE_DIO","https://www.diodes.com/assets/Datasheets/B320AE/B340AE.pdf","","0.37","https://www.digikey.com/en/products/detail/diodes-incorporated/B340AE-13/7352831","","","","","","B340AE-13"
"14","2","D2, D3","3.3V",":D_Zener_1","Zener_3V3_BZT52C3V3-7-F:SOD3715X135N","https://www.diodes.com/assets/Datasheets/ds18004.pdf","","0.21","https://www.digikey.com/en/products/detail/diodes-incorporated/BZT52C3V3-7-F/717734","","","","","","BZT52C3V3-7-F"
"15","4","D4, D5, D6, D7","green-led","Device:LED_Small","LED_green_0603:LED_B1911PG--20D000514U1930_HVK","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/3777/B1911PG--20D000514U1930.pdf","","0.1","https://www.digikey.com/en/products/detail/harvatek-corporation/B1911PG-20D000514U1930/15519992","","","","","","B1911PG--20D000514U1930"
"16","1","FB1","100","Device:FerriteBead_Small","Ferrite-bead-100:IND_25_0805_FRT","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/897/EMI_Filtering_and_RF_Inductors.pdf","","0.1","https://www.digikey.com/en/products/detail/fair-rite-products-corp/2508051017Y0/8594285","","","","","","2508051017Y0"
"17","6","H1, H2, H3, H4, H5, H6","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_2.5mm_Pad","~","","","","","","","","",""
"18","2","IC1, IC2","CD4043BDR","Latch_CD4043BDR:CD4043BDR","Latch_CD4043BDR:SOIC127P600X175-16N","http://www.ti.com/lit/ds/symlink/cd4043b.pdf","","0.49","https://www.digikey.com/en/products/detail/texas-instruments/CD4043BDR/1691049?s=N4IgTCBcDa4JwDYC0BmAjAFkUtSByAIiALoC%2BQA","1.75","Texas Instruments","CD4043BDR","595-CD4043BDR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/CD4043BDR?qs=LSR%252BNeaw%2FwDs6kTS0c%2F4dw%3D%3D","CD4043BDR"
"19","8","IC3, IC4, IC5, IC6, IC7, IC8, IC9, IC10","DRV8825PWPR","DRV8825PWPR:DRV8825PWPR","Motor_controller_DRV8825PWPR:SOP65P640X120-29N","http://www.ti.com/lit/gpn/drv8825","","5.65","https://www.digikey.com/en/products/detail/texas-instruments/drv8825pwpr/2695909","1.2","Texas Instruments","DRV8825PWPR","595-DRV8825PWPR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/DRV8825PWPR?qs=L4ss%2FyqpMWRQV%252B0JWK8r%2FQ%3D%3D","DRV8825PWPR"
"20","1","J1","Conn_01x04","Connector_Generic:Conn_01x04","Header_male_4x1:CONN_61300411121_WRE","https://www.we-online.com/components/products/datasheet/6130xx11121.pdf","","0.19","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/61300411121/4846827","","","","","","61300411121"
"21","1","J2","216550-1","Ultralibrarian:216550-1","Connector_8x1_216550:CONN_216550-1_TEC","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=216550&DocType=Customer+Drawing&DocLang=English","","1.68","https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/216550-1/1920152","","","","","","216550-1"
"22","2","J3, J5","Screw_Terminal_01x04","Connector:Screw_Terminal_01x04","Header_screw_4x1_TB001-500-04BE:CUI_TB001-500-04BE","https://www.cuidevices.com/product/resource/tb001-500.pdf","","0.72","https://www.digikey.com/en/products/detail/cui-devices/TB001-500-04BE/10064060","","","","","","TB001-500-04BE"
"23","1","J6","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","https://www.digikey.com/en/products/detail/adam-tech/PH1-03-UA/9830289","","0.1","https://www.digikey.com/en/products/detail/adam-tech/PH1-03-UA/9830289","","","","","","PH1-03-UA"
"24","1","J7","Screw_Terminal_01x07","Connector:Screw_Terminal_01x07","Header_screw_7x1_TB001-500-07BE:CUI_TB001-500-07BE","https://www.cuidevices.com/product/resource/tb001-500.pdf","","0.96","https://www.digikey.com/en/products/detail/cui-devices/TB001-500-07BE/10064063","","","","","","TB001-500-07BE"
"25","8","J8, J9, J10, J11, J12, J13, J14, J15","Conn_01x03","Connector_Generic:Conn_01x03","Molex_3x1_0436500315:CON_436500315_MOL","https://tools.molex.com/pdm_docs/sd/436500315_sd.pdf","","1.27","https://www.digikey.com/en/products/detail/molex/0436500315/283462","","","","","","0436500315"
"26","8","J16, J17, J18, J19, J20, J21, J22, J23","216548-1","Connector_Generic:Conn_01x06","Connector_TE_x6_216548-1:CONN_216548-1_TYC","https://www.te.com/usa-en/product-216548-1.datasheet.pdf","","1.76","https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/216548-1/1920151","","","","","","216548-1"
"27","6","JP1, JP4, JP5, JP9, JP10, JP11","SolderJumper_2_Open","Jumper:SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","","","","","","","","",""
"28","5","JP2, JP3, JP6, JP7, JP8","SolderJumper_3_Open","Jumper:SolderJumper_3_Open","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm","~","","","","","","","","",""
"29","12","K1, K2, K3, K4, K5, K6, K7, K8, K9, K10, K11, K12","TX2-L2-5V","Relay_TX-L2-5V_2:TX2-L2-5V","Relay_TX-L2-5V:RELAY_TX2_L2_PAN","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-21/DSA-416365.pdf","","3.61","https://www.digikey.com/en/products/detail/panasonic-electric-works/TX2-L2-5V/570921","","Panasonic","TX2-L2-5V","769-TX2-L2-5V","https://www.mouser.co.uk/ProductDetail/Panasonic-Industrial-Devices/TX2-L2-5V?qs=HLLy2pIPwutLVi0zDF212g%3D%3D","TX2-L2-5V"
"30","1","R1","6.8k","Device:R_Small","Resistor_0805:RC0805N_YAG","https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf","","0.1","https://www.digikey.com/en/products/detail/yageo/RT0805FRE076K8L/1079385","","","","","","RT0805FRE076K8L"
"31","1","R2","3.3k","Device:R_Small","Resistor_0805:RC0805N_YAG","https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf","","0.1","https://www.digikey.com/en/products/detail/yageo/RT0805FRE073K3L/1079226","","","","","","RT0805FRE073K3L"
"32","1","R3","47k","Device:R_Small","Resistor_0805:RC0805N_YAG","https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf","","0.1","https://www.digikey.com/en/products/detail/yageo/RT0805FRE0747KL/1079274","","","","","","RT0805FRE0747KL"
"33","1","R4","5.1k","Device:R_Small","Resistor_0805:RC0805N_YAG","https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf","","0.1","https://www.digikey.com/en/products/detail/yageo/RT0805FRE075K1L/1079334","","","","","","RT0805FRE075K1L"
"34","1","R5","0.1","Device:R","Shunt_PE2512FKE070R1L:RESC6331X89N","https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-pe_521_rohs_l.pdf","","0.6","https://www.digikey.com/en/products/detail/yageo/PE2512FKE070R1L/5138678","","","","","","PE2512FKE070R1L"
"35","2","R6, R9","10k","Device:R","Resistor_0805:RC0805N_YAG","https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf","","0.1","https://www.digikey.com/en/products/detail/yageo/RT0805FRE0710KL/1078908","","","","","","RT0805FRE0710KL"
"36","2","R7, R8","4.7k","Device:R_Small","Resistor_0805:RC0805N_YAG","https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf","","0.1","https://www.digikey.com/en/products/detail/yageo/RT0805FRE074K7L/1079294","","","","","","RT0805FRE074K7L"
"37","1","R10","5k","Device:R_Small","Precision_resistor_5k:Y1453_VIS","https://foilresistors.com/docs/63187/zseries.pdf","","38.87","https://www.digikey.com/en/products/detail/vpg-foil-resistors/Y14535K00000V9L/2609897","","","","","","Y14535K00000V9L"
"38","1","R11","15k","Device:R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-cfr_datasheet.pdf","","0.1","https://www.digikey.com/en/products/detail/yageo/CFR-25JR-52-15K/12002","","","","","","CFR-25JR-52-15K"
"39","16","R12, R13, R14, R15, R16, R17, R21, R22, R23, R24, R25, R26, R30, R31, R32, R33","1","Device:R_Small","Resistor_0805:RC0805N_YAG","https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf","","0.1","https://www.digikey.com/en/products/detail/yageo/RT0805FRE071RL/5934333","","","","","","RT0805FRE071RL"
"40","8","R18, R19, R20, R27, R28, R29, R34, R35","1M","Device:R_Small","Resistor_0805:RC0805N_YAG","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","","0.1","https://www.digikey.com/en/products/detail/yageo/RC0805FR-131ML/14008312","","","","","","RC0805FR-131ML"
"41","8","R36, R37, R38, R39, R40, R41, R42, R43","330","Device:R_Small","Resistor_0805:RC0805N_YAG","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","","0.1","https://www.digikey.com/en/products/detail/yageo/RC0805FR-10330RL/13694160","","","","","","RC0805FR-10330RL"
"42","1","R44","2k","Device:R_Small","Resistor_0805:RC0805N_YAG","~","","0.1","https://www.digikey.com/en/products/detail/yageo/RC0805FR-132KL/14008253","","","","","","RC0805FR-132KL"
"43","1","R45","560","Device:R_Small","Resistor_0805:RC0805N_YAG","~","","0.1","https://www.digikey.com/en/products/detail/yageo/RC0805JR-07560RL/728347","","","","","","RC0805JR-07560RL"
"44","2","R46, R47","220","Device:R_Small","Resistor_0805:RC0805N_YAG","~","","0.1","https://www.digikey.com/en/products/detail/yageo/RC0805FR-13220RL/14008293","","","","","","RC0805FR-13220RL"
"45","2","RN1, RN3","10k","Device:R_Network08","Resistor_network-10k:SMT_JR-0710KL_YAG","https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-yc_tc_group_51_rohs_l.pdf","","0.14","https://www.digikey.com/en/products/detail/yageo/YC158TJR-0710KL/5951826","","","","","","YC158TJR-0710KL"
"46","2","RN2, RN4","10k","Device:R_Pack04","Resistor_network_x4_10k-1204:RESCAXS80P320X160X70-8N","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf","","0.1","https://www.digikey.com/en/products/detail/yageo/YC164-JR-1310KL/17023153?s=N4IgTCBcDaIJ4GMCMA2ALAWgFYCcNIGYkAGAawBsQBdAXyA","","","","","","YC164-JR-1310KL"
"47","1","RV1","10k","Device:R_Potentiometer","Potentiometer_10k_smt:POT_TC33_3X3P8_BRN","https://www.bourns.com/docs/Product-Datasheets/TC33.pdf","","0.28","https://www.digikey.com/en/products/detail/bourns-inc/TC33X-2-103E/612858","","","","","","TC33X-2-103E"
"48","1","SW1","TS02-66-70-BK-160-LCR-D","Switch:SW_MEC_5E","Button_switch_smt:SMT_FS","https://www.ckswitches.com/media/2780/pts526.pdf","","0.14","https://www.digikey.com/en/products/detail/c-k/PTS526-SK15-SMTR2-LFS/10056626","","","","","","PTS526 SK15 SMTR2 LFS"
"49","1","SW2","SW_DIP_x03","Switch:SW_DIP_x03","Dip_switch_DS01C-254-L-03BE:SW_DS01C-254-L-03BE","https://www.cuidevices.com/product/resource/ds01-254.pdf","","0.57","https://www.digikey.com/en/products/detail/cui-devices/DS01C-254-L-03BE/11310858","","","","","","DS01C-254-L-03BE"
"50","1","TP1","Vin-adc","Connector:TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","~","","","","","","","","",""
"51","1","TP2","MotorCurrent-adc","Connector:TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","~","","","","","","","","",""
"52","1","TP3","D3V3","Connector:TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","~","","","","","","","","",""
"53","1","TP4","A3V3","Connector:TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","~","","","","","","","","",""
"54","3","TP5, TP7, TP18","GND","Connector:TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","~","","","","","","","","",""
"55","1","TP6","Vin","Connector:TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","~","","","","","","","","",""
"56","2","TP8, TP16","3V3","Connector:TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","~","","","","","","","","",""
"57","1","TP9","5V","Connector:TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","~","","","","","","","","",""
"58","1","TP13","12V","Connector:TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","~","","","","","","","","",""
"59","1","TP15","Vref","Connector:TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","~","","","","","","","","",""
"60","1","TP17","DIR","Connector:TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","~","","","","","","","","",""
"61","1","U1","L7812ABD2T-TR","Regulator_Linear:AMS1117-5.0","Linear_regulator_L7812ABD2T_TR:DPAK_BD2T-TR_STM","https://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","","1.1","https://www.digikey.com/en/products/detail/stmicroelectronics/L7812ABD2T-TR/1038261","","","","","","L7812ABD2T-TR"
"62","1","U2","LM7805MPX","Regulator_Linear:AMS1117-5.0","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://www.ti.com/lit/ds/symlink/lm7800.pdf","","1.61","https://www.digikey.com/en/products/detail/texas-instruments/LM7805MPX-NOPB/6110583","","","","","","LM7805MPX/NOPB"
"63","1","U3","MCP1825ST-3302E/DB","Regulator_Linear:LD1117S12TR_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://ww1.microchip.com/downloads/en/DeviceDoc/22056b.pdf","","0.69","https://www.digikey.com/en/products/detail/microchip-technology/MCP1825ST-3302E-DB/1635518","","","","","","MCP1825ST-3302E/DB"
"64","1","U4","MAX3232","Interface_UART:MAX3232","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","https://datasheets.maximintegrated.com/en/ds/MAX3222-MAX3241.pdf","","1.07","https://www.digikey.com/en/products/detail/texas-instruments/MAX3232EIPWR/968150?s=N4IgTCBcDa4JwDYC0BGOAWAzMlSByAIiALoC%2BQA","","","","","","MAX3232EIPWR"
"65","1","U5","INA213AIDCKR","Amplifier_Current:INA181","Current_sense_amp_INA213AIDCKR:DCK0006A_L","http://www.ti.com/lit/ds/symlink/ina181.pdf","","0.97","https://www.digikey.com/en/products/detail/texas-instruments/INA213AIDCKR/1898607","","","","","","INA213AIDCKR"
"66","1","U6","STM32F103RBTx","MCU_ST_STM32F1:STM32F103RBTx","STM32F103RBT6TR:LQFP64-10x10mm","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1139/STM32F103x8,B.pdf","","7.5","https://www.digikey.com/en/products/detail/stmicroelectronics/STM32F103RBT6TR/2122443","","","","","","STM32F103RBT6TR"
"67","1","U7","AT24C01D-STUM-T","Memory_EEPROM:AT24CS01-STUM","Package_TO_SOT_SMD:SOT-23-5","https://ww1.microchip.com/downloads/en/DeviceDoc/24AA01-24LC01B-24FC01-1K-I2C-Serial-EEPROM-20001711M.pdf","","0.16","https://www.digikey.com/en/products/detail/microchip-technology/AT24C01D-STUM-T/4914368","","","","","","AT24C01D-STUM-T"
"68","2","U8, U9","ULN2003ADR","ULN2003AN:ULN2003","Relay_driver_ULN2003ADR:D0016A_L","http://www.ti.com/lit/ds/symlink/uln2003a.pdf","","0.46","https://www.digikey.com/en/products/detail/texas-instruments/ULN2003ADR/277011?s=N4IgTCBcDa4JwDYC0BGAzAgHKpA5AIiALoC%2BQA","","","","","","ULN2003ADR"
"69","8","U10, U11, U12, U13, U14, U15, U16, U17","TLP170AM","Relay_SolidState:TLP175A","Package_SO:MFSOP6-4_4.4x3.6mm_P1.27mm","https://toshiba.semicon-storage.com/info/TLP170AM_datasheet_en_20210524.pdf?did=69016&prodName=TLP170AM","","1.28","https://www.digikey.com/en/products/detail/toshiba-semiconductor-and-storage/TLP170AM-TPL-E/12698771","","","","","","TLP170AM(TPL,E"
"70","1","Y1","8MHz","Device:Crystal","Crystal_8MHZ_smt:XTAL_ABLS-8.000MHz-20-B-3-H-T","https://abracon.com/Resonators/ABLS.pdf","","0.17","https://www.digikey.com/en/products/detail/abracon-llc/ABLS-8-000MHZ-20-B-3-H-T/9997852","","","","","","ABLS-8.000MHZ-20-B-3-H-T"
